id_curso;curso;id_unidade;unidade
315746;DOUTORADO EM EDUCAÇÃO;363;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
170670143;DOUTORADO EM EDUCAÇÃO FISICA;5591;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA
50903134;DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE;412;PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM
178227870;DOUTORADO EM ENGENHARIA CIVIL E AMBIENTAL;31338;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA CIVIL E AMBIENTAL
315750;DOUTORADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO;103;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO
315752;DOUTORADO EM ENGENHARIA MECÂNICA;104;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECÂNICA
315754;DOUTORADO EM ENGENHARIA QUÍMICA;106;PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA QUÍMICA
108847150;DOUTORADO EM ENSINO DE CIÊNCIAS E MATEMÁTICA;9111;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA
315758;DOUTORADO EM ESTUDOS DA LINGUAGEM;65;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM
115789633;DOUTORADO EM ESTUDOS DA MÍDIA;4893;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA
132958781;DOUTORADO EM ESTUDOS URBANOS E REGIONAIS;5254;PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS
115789618;DOUTORADO EM FILOSOFIA;364;PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA
315728;DOUTORADO EM FÍSICA;388;PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA
95726200;DOUTORADO EM FISIOTERAPIA;4072;PROGRAMA DE PÓS-GRADUAÇÃO EM FISIOTERAPIA
171468995;DOUTORADO EM FONOAUDIOLOGIA;10490;PROGRAMA DE PÓS-GRADUAÇÃO EM FONOAUDIOLOGIA
315763;DOUTORADO EM GEODINÂMICA E GEOFÍSICA;325;PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA
95953799;DOUTORADO EM GEOGRAFIA;315;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA
178227782;DOUTORADO EM GEOGRAFIA;9110;PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - CERES
177612850;DOUTORADO EM GESTÃO E INOVAÇÃO EM SAÚDE;10482;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO E INOVAÇÃO EM SAÚDE
133179605;DOUTORADO EM HISTÓRIA;435;PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA
98462514;DOUTORADO EM NANOTECNOLOGIA FARMACÊUTICA;6030;PROGRAMA DE PÓS-GRADUAÇÃO EM NANOTECNOLOGIA FARMACÊUTICA
17565631;DOUTORADO EM NEUROCIÊNCIAS;5207;PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS
171307246;DOUTORADO EM NUTRIÇÃO;8191;PROGRAMA DE PÓS-GRADUAÇÃO EM NUTRIÇÃO
315734;DOUTORADO EM PATOLOGIA ORAL;1760;PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL
315736;DOUTORADO EM PSICOBIOLOGIA;367;PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA
17275730;DOUTORADO EM PSICOLOGIA;64;PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA
315740;DOUTORADO EM QUÍMICA;85;PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA
84739891;DOUTORADO EM SAÚDE COLETIVA;5670;PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA
117229950;DOUTORADO EM SERVIÇO SOCIAL;376;PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL
96146345;DOUTORADO EM SISTEMÁTICA E EVOLUÇÃO;5579;PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO
104910434;DOUTORADO EM TURISMO;4295;PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO
177835234;DOUTORADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA;9395;PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE HISTÓRIA - REDE NACIONAL
172269300;DOUTORADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS;10481;PROGRAMA DE PÓS-GRADUAÇÃO EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
147308656;DOUTORADO PROFISSIONAL EM SAÚDE DA FAMÍLIA;6135;PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE DA FAMÍLIA NO NORDESTE
177385128;DOUTORADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO;7872;PROGRAMA DE PÓS-GRADUAÇÃO EM TECNOLOGIA DA INFORMAÇÃO
2000121;ECOLOGIA;440;CENTRO DE BIOCIÊNCIAS
127242379;EDUCAÇÃO A DISTÂNCIA;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
175519413;EDUCAÇÃO BILÍNGUE PARA SURDOS;4880;DEPARTAMENTO DE EDUCAÇÃO - CERES
182472899;EDUCAÇÃO DO CAMPO;5968;DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO
101012784;EDUCAÇÃO EM DIREITOS HUMANOS;4880;DEPARTAMENTO DE EDUCAÇÃO - CERES
175224989;EDUCAÇÃO ESPECIAL INCLUSIVA;5965;CENTRO DE EDUCAÇÃO
168323829;EDUCAÇÃO ESPECIAL/INCLUSIVA NA EDUCAÇÃO BÁSICA;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
2000022;EDUCAÇÃO FÍSICA;441;CENTRO DE CIÊNCIAS DA SAÚDE
85436676;EDUCAÇÃO FÍSICA;441;CENTRO DE CIÊNCIAS DA SAÚDE
111635041;EDUCAÇÃO FÍSICA;441;CENTRO DE CIÊNCIAS DA SAÚDE
50688664;EDUCAÇÃO FÍSICA;441;CENTRO DE CIÊNCIAS DA SAÚDE
177115407;EDUCAÇÃO MIDIÁTICA;140;DEPARTAMENTO DE COMUNICAÇÃO SOCIAL
176994916;EDUCAÇÃO MIDIÁTICA;140;DEPARTAMENTO DE COMUNICAÇÃO SOCIAL
