"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"100183927";"ESPECIALIZAÇÃO EM ECONOMIA DO SETOR PÚBLICO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"160";"DEPARTAMENTO DE ECONOMIA - DEPEC";"";"";"";"";"";""
"96520440";"ESPECIALIZAÇÃO EM ECONOMIA SOLIDÁRIA E DESENVOLVIMENTO TERRITORIAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"74";"PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO";"";"";"";"";"";""
"146981951";"ESPECIALIZAÇÃO EM ECONOMIA SOLIDÁRIA E DESENVOLVIMENTO TERRITORIAL";"";"";"";"LATO SENSU";"";"Remoto";"";"";"";"";"";"";"74";"PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO";"";"";"";"";"";""
"5277960";"ESPECIALIZAÇÃO EM ECONOMIA SOLIDÁRIA E DESENVOLVIMENTO TERRITORIAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"74";"PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO";"";"";"";"";"";""
"100115448";"ESPECIALIZAÇÃO EM EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"181";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"";"";"";"";"";""
"173034771";"ESPECIALIZAÇÃO EM EDUCAÇÃO BILÍNGUE PARA SURDOS";"5758765";"RONNY DIOGENES DE MENEZES";"";"LATO SENSU";"";"Remoto";"";"";"";"";"";"";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"";"";"";"";"";""
"88359602";"ESPECIALIZAÇÃO EM EDUCAÇÃO E LINGUAGEM";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"236";"CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS";"";"";"";"";"";""
"101013233";"ESPECIALIZAÇÃO EM EDUCAÇÃO EM DIREITOS HUMANOS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5967";"DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO";"";"";"";"";"";""
"107183983";"ESPECIALIZAÇÃO EM EDUCAÇÃO EM ESPAÇOS DE PRIVAÇÃO DE LIBERDADE";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5968";"DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO";"";"";"";"";"";""
"137776743";"ESPECIALIZAÇÃO EM EDUCAÇÃO ESPECIAL NA EDUCAÇÃO BÁSICA: O AEE EM FOCO";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"95796201";"ESPECIALIZAÇÃO EM EDUCAÇÃO FÍSICA ESCOLAR";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"2062116";"ESPECIALIZAÇÃO EM EDUCAÇÃO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"98461888";"ESPECIALIZAÇÃO EM EDUCAÇÃO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"";"";"";"";"";""
"2249855";"ESPECIALIZAÇÃO EM EDUCAÇÃO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"1452";"NÚCLEO DE EDUCAÇÃO DA INFÂNCIA";"";"";"";"";"";""
"3410226";"ESPECIALIZAÇÃO EM EDUCAÇÃO MUSICAL NA EDUCAÇÃO BÁSICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"284";"ESCOLA DE MÚSICA";"";"";"";"";"";""
"89918597";"ESPECIALIZAÇÃO EM EDUCAÇÃO MUSICAL NA EDUCAÇÃO BÁSICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"284";"ESCOLA DE MÚSICA";"";"";"";"";"";""
"108087170";"ESPECIALIZAÇÃO EM EDUCAÇÃO NA CULTURA DIGITAL";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"6069";"INSTITUTO METROPOLE DIGITAL";"";"";"";"";"";""
"109917488";"ESPECIALIZAÇÃO EM EDUCAÇÃO NA CULTURA DIGITAL";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"6069";"INSTITUTO METROPOLE DIGITAL";"";"";"";"";"";""
"98759568";"ESPECIALIZAÇÃO EM EDUCAÇÃO, RELIGIÃO E MITO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"136";"DEPARTAMENTO DE CIÊNCIAS SOCIAIS";"";"";"";"";"";""
"154924977";"ESPECIALIZAÇÃO EM EM EXECUÇÃO PENAL";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"9750";"DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO";"";"";"";"";"";""
"51004048";"ESPECIALIZAÇÃO EM ENDOCRINOLOGIA PEDIÁTRICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"193";"DEPARTAMENTO DE PEDIATRIA";"";"";"";"";"";""
"6546980";"ESPECIALIZAÇÃO EM ENDOCRINOLOGIA PEDIÁTRICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"193";"DEPARTAMENTO DE PEDIATRIA";"";"";"";"";"";""
"11345120";"ESPECIALIZAÇÃO EM ENDODONTIA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"195";"DEPARTAMENTO DE ODONTOLOGIA";"";"";"";"";"";""
"95872651";"ESPECIALIZAÇÃO EM ENDODONTIA";"5754342";"FABIO ROBERTO DAMETTO";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"195";"DEPARTAMENTO DE ODONTOLOGIA";"";"";"";"";"";""
"17975011";"ESPECIALIZAÇÃO EM ENERGIA EÓLICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"84696044";"ESPECIALIZAÇÃO EM ENERGIA EÓLICA - CURSO II";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"118269716";"ESPECIALIZAÇÃO EM ENFERMAGEM EM NEFROLOGIA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"198";"DEPARTAMENTO DE ENFERMAGEM";"";"";"";"";"";""
"163763313";"ESPECIALIZAÇÃO EM ENFERMAGEM EM NEONATOLOGIA E PEDIATRIA";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"198";"DEPARTAMENTO DE ENFERMAGEM";"";"";"";"";"";""
"175957626";"ESPECIALIZAÇÃO EM ENFERMAGEM EM TERAPIA INTENSIVA";"5762688";"ALCIDES VIANA DE LIMA NETO";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"";"";"";"";"";""
"163893127";"ESPECIALIZAÇÃO EM ENFERMAGEM EM TERAPIA INTENSIVA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"198";"DEPARTAMENTO DE ENFERMAGEM";"";"";"";"";"";""
"166993847";"ESPECIALIZAÇÃO EM ENFERMAGEM EM TERAPIA INTENSIVA";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"";"";"";"";"";""
"128551505";"ESPECIALIZAÇÃO EM ENFERMAGEM EM TERAPIA INTENSIVA NEONATAL E PEDIÁTRICA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"171602634";"ESPECIALIZAÇÃO EM ENFERMAGEM EM URGÊNCIA E EMERGÊNCIA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"";"";"";"";"";""
"164213451";"ESPECIALIZAÇÃO EM ENFERMAGEM NEONATAL E PEDIÁTRICA";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"198";"DEPARTAMENTO DE ENFERMAGEM";"";"";"";"";"";""
"125694869";"ESPECIALIZAÇÃO EM ENFERMAGEM OBSTÉTRICA - TURMA III - REDE CEGONHA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"165945996";"ESPECIALIZAÇÃO EM ENGENHARIA AUTOMOTIVA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"104";"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECÂNICA";"";"";"";"";"";""
"135222431";"ESPECIALIZAÇÃO EM ENGENHARIA DE NEGÓCIOS NO SETOR DE SUPERMERCADOS";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"117430697";"ESPECIALIZAÇÃO EM ENGENHARIA DE OPERAÇÕES";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"138719355";"ESPECIALIZAÇÃO EM ENGENHARIA DE OPERAÇÕES";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"165452252";"ESPECIALIZAÇÃO EM ENGENHARIA DE OPERAÇÕES E GESTÃO DE ATIVOS";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"184622307";"ESPECIALIZAÇÃO EM ENGENHARIA DE OPERAÇÕES E GESTÃO DE ATIVOS";"5757889";"HERBERT RICARDO GARCIA VIANA";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"149769620";"ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
